v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability,metagraph_x,metagraph_y
0,0,0,2,12,0101010101010101,0011101100110011,0000111100001111,0000000011111110,1,-1,-2,-1,0,3,0,-1,0,1,3,-1,0,-1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.11447,0.332669
0,0,0,2,12,0101010101010101,0011001100110011,0000111010001111,0000000011111111,1,-2,-2,-2,0,3,-2,0,0,0,3,0,0,0,2,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-0.843024,1.01674
0,0,0,2,12,0101010101010101,0011001100110011,0011111100001111,0000000011111111,1,-2,0,-2,0,3,1,0,0,0,2,0,0,0,-1,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.610386,0.402207
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001110,0000100011111111,1,-2,-1,-1,0,3,-1,-1,0,0,3,1,0,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.482394,0.432186
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001110,0010000011111111,1,-2,-1,-1,0,3,-1,1,0,0,3,-1,0,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.341178,0.782268
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001100,0000000011111111,1,-2,0,-2,0,3,-2,0,0,0,3,0,0,0,-2,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.654279,0.56765
0,0,0,2,12,0101010101010101,0011001110110011,0000111100001110,0000000011111111,1,-1,-1,-2,0,3,-1,0,0,-1,3,0,0,1,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.15214,0.85972
0,0,0,2,12,0101010101010101,0011101100110011,0000111100001110,0000000011111111,1,-1,-1,-2,0,3,-1,0,0,1,3,0,0,-1,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.019809,0.562967
0,0,0,2,12,0101010101010101,0011001100110011,0100111100001101,0000000011111111,1,-2,1,-2,0,3,-2,0,0,0,3,0,0,0,-1,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-0.908988,0.734188
0,0,0,2,12,0101010101010101,0011001100110011,0100111100001111,0000100011111111,1,-2,1,-1,0,3,-1,-1,0,0,3,1,0,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.557998,0.524058
0,0,0,2,12,0101010101010101,0011001100110011,0100111100001111,0010000011111111,1,-2,1,-1,0,3,-1,1,0,0,3,-1,0,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,-0.54077,0.456329
0,0,0,2,12,0101010101010101,0011001110110011,0100111100001111,0000000011111111,1,-1,1,-2,0,3,-1,0,0,-1,3,0,0,1,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,0.016185,0.688228
0,0,0,2,12,0101010101010101,0011101100110011,0100111100001111,0000000011111111,1,-1,1,-2,0,3,-1,0,0,1,3,0,0,-1,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,0.04812,0.580646
0,0,0,2,12,0101010101010101,0011001100110011,0010111100001011,0000000011111111,1,-2,-2,-2,0,3,1,0,0,0,3,0,0,0,-1,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-0.707946,0.847501
0,0,0,2,12,0101010101010101,0011001100110011,0000111111001111,0000000011111111,1,-2,0,-2,0,3,-2,0,0,0,3,0,0,0,1,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.832291,0.723079
0,0,0,2,12,0101010101010101,0011001010110011,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,-2,3,0,0,2,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,0.761951,-0.057665
0,0,0,2,12,0101010101010101,0011111100110011,0000111100001111,0000000011111111,1,0,-2,-2,0,2,0,0,0,1,3,0,0,-1,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.401943,-0.064738
0,0,0,2,12,0101010101010101,0011001100110010,0000111100001111,0000100011111111,1,-1,-2,-1,0,3,0,-1,0,-1,3,1,0,-1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.344293,0.376344
0,0,0,2,12,0101010101010101,0011001100110010,0000111100001111,0010000011111111,1,-1,-2,-1,0,3,0,1,0,-1,3,-1,0,-1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.336257,-0.011276
0,0,0,2,12,0101010101010101,0011001100110010,0000111110001111,0000000011111111,1,-1,-1,-2,0,3,-1,0,0,-1,3,0,0,-1,1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.291307,1.13371
0,0,0,2,12,0101010101010101,0011001100110010,0010111100001111,0000000011111111,1,-1,-1,-2,0,3,1,0,0,-1,3,0,0,-1,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.358174,0.424914
