v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability
1,0,0,0,0,0101000011010000,0000111010001111,0000111000001010,0100110111011101,2,-2,-2,2,-1,-2,-1,-2,-3,3,3,1,1,2,-1,1,1.0,3,16,0.007365695637359871,0.010416666666666666,92
1,0,0,0,0,0111000011110001,0000111010001111,0000111000001010,0100110111011101,1,-2,-2,2,1,-2,-1,-2,-3,3,3,1,2,2,-1,1,1.0,3,64,0.007365695637359871,0.010416666666666666,105
1,0,0,0,0,0100000011010000,0000111010001111,0000111000001010,0100110111011101,1,-2,-2,2,-2,-2,-1,-2,-3,3,3,1,2,2,-1,1,1.0,3,64,0.009021097956087902,0.015625,100
1,0,0,0,0,0100000011010000,0010111110111111,0000111000001010,0100110111011101,1,-2,-2,2,-2,1,-1,-2,-3,3,3,1,2,2,-1,1,1.0,5,80,0.009936866681426517,0.028125,101
1,0,0,0,0,0100000011010000,0010111110111111,0000111000001010,0000110010001100,1,-2,-2,-1,-2,1,-1,-3,-3,3,3,2,2,2,-1,1,1.0,4,20,0.006669921080659218,0.017708333333333333,93
1,0,0,0,0,0100000011010000,0010111110111111,0000111000001110,0000110010001100,1,-2,-2,-1,-2,1,-2,-3,-3,3,3,2,2,2,0,1,1.0,4,80,0.009936866681426517,0.028125,92
1,0,0,0,0,0100000011010000,0000110010001110,0000111000001110,0000110010001100,1,-2,-2,-1,-2,-3,-2,-3,-3,3,3,2,2,1,0,1,3.6666666666666665,3,64,0.011646187382811405,0.026041666666666668,86
1,0,0,0,0,0000000011000000,0000110010001110,0000111000001110,0000110010001100,-2,-2,-2,-1,-3,-3,-2,-3,-3,3,3,2,3,1,0,1,5.0,2,320,0.013975424859373685,0.0625,94
1,0,0,0,0,0011001111110011,0000110010001110,0000111000001110,0000110010001100,0,-2,-2,-1,2,-3,-2,-3,-1,3,3,2,1,1,0,1,1.0,1,64,0.011646187382811405,0.036458333333333336,78
1,0,0,0,0,0111011111110111,0000110010001110,0000111000001110,0000110010001100,2,-2,-2,-1,2,-3,-2,-3,-1,3,3,2,1,1,0,1,1.0,2,96,0.012028130608117202,0.041666666666666664,92
1,0,0,0,0,0101010011010101,0000110010001110,0000111000001110,0000110010001100,2,-2,-2,-1,-1,-3,-2,-3,-1,3,3,2,1,1,0,1,3.6666666666666665,3,64,0.010416666666666666,0.020833333333333332,88
1,0,0,0,0,0111010111110101,0000110010001110,0000111000001110,0000110010001100,3,-2,-2,-1,1,-3,-2,-3,-2,3,3,2,1,1,0,1,3.6666666666666665,3,16,0.010416666666666666,0.020833333333333332,78
1,0,0,0,0,0111010111110101,0000110010001110,0000111000001110,0000110000001100,3,-2,-2,-2,1,-3,-2,-3,-2,3,3,3,1,1,0,0,3.6666666666666665,3,240,0.016448221225454182,0.05416666666666667,89
1,0,0,0,0,0111010111110101,0000110010001110,0000111000001110,0000110000001000,3,-2,-2,-2,1,-3,-2,-3,-2,3,3,3,1,1,0,-2,3.6666666666666665,3,80,0.011219093348196882,0.03333333333333333,86
1,0,0,0,0,0111010111110101,0000111110001111,0000111000001110,0000110000001000,3,-1,-2,-2,1,-1,-2,-3,-2,3,3,3,1,1,0,-2,1.0,3,20,0.008462540004829126,0.02291666666666667,81
1,0,0,0,0,0111010100010000,0000111110001111,0000111000001110,0000110000001000,2,-1,-2,-2,1,-1,-2,-3,-1,3,3,3,-2,1,0,-2,1.0,3,80,0.011219093348196882,0.03333333333333333,86
1,0,0,0,0,0100010000000000,0000111110001111,0000111000001110,0000110000001000,1,-1,-2,-2,-3,-1,-2,-3,0,3,3,3,-3,1,0,-2,1.0,3,400,0.012586506222494347,0.06458333333333334,97
1,0,0,0,0,0100010000000000,0000111110001111,0000111000001110,0000111100001010,1,-1,-2,-2,-3,-1,-2,0,0,3,3,3,-3,1,0,-2,1.0,3,320,0.013975424859373685,0.0625,90
